group,value
A_sig,23.8
A_sig,17.0
A_sig,22.2
A_sig,27.4
A_sig,23.2
A_sig,13.5
A_sig,26.2
A_sig,17.5
A_sig,20.5
A_sig,18.6
B_sig,33.8
B_sig,27.0
B_sig,32.2
B_sig,37.4
B_sig,33.2
B_sig,23.5
B_sig,36.2
B_sig,27.5
B_sig,30.5
B_sig,28.6
C_sig,43.8
C_sig,37.0
C_sig,42.2
C_sig,47.4
C_sig,43.2
C_sig,33.5
C_sig,46.2
C_sig,37.5
C_sig,40.5
C_sig,38.6
D_nonsig,24.8
D_nonsig,23.0
D_nonsig,28.2
D_nonsig,23.4
D_nonsig,29.2
D_nonsig,19.5
D_nonsig,32.2
D_nonsig,23.5
D_nonsig,26.5
D_nonsig,24.6
E_nonsig,25.8
E_nonsig,24.0
E_nonsig,29.2
E_nonsig,24.4
E_nonsig,30.2
E_nonsig,20.5
E_nonsig,33.2
E_nonsig,24.5
E_nonsig,27.5
E_nonsig,25.6
F_nonsig,25.3
F_nonsig,23.5
F_nonsig,28.7
F_nonsig,23.9
F_nonsig,29.7
F_nonsig,20.0
F_nonsig,32.7
F_nonsig,24.0
F_nonsig,27.0
F_nonsig,25.1
